Hotel A;250;$50 off your stay 3 nights or more;-50;rebate_3plus;2016-03-01;2016-03-31
Hotel A;250;5% off your stay;-5;pct;2016-03-01;2016-03-15
Hotel A;250;$20 off your stay;-20;rebate;2016-03-07;2016-03-15
Hotel A;275;$50 off your stay 3 nights or more;-55;rebate_3plus;2016-03-01;2016-03-31
Hotel A;275;5% off your stay;-5.5;pct;2016-03-01;2016-03-15
Hotel A;275;$20 off your stay;-22;rebate;2016-03-07;2016-03-15
Hotel A;302.5;$50 off your stay 3 nights or more;-60.5;rebate_3plus;2016-03-01;2016-03-31
Hotel A;302.5;5% off your stay;-6.05;pct;2016-03-01;2016-03-15
Hotel A;302.5;$20 off your stay;-24.2;rebate;2016-03-07;2016-03-15
Hotel A;332.75;$50 off your stay 3 nights or more;-66.55;rebate_3plus;2016-03-01;2016-03-31
Hotel A;332.75;5% off your stay;-6.655;pct;2016-03-01;2016-03-15
Hotel A;332.75;$20 off your stay;-26.62;rebate;2016-03-07;2016-03-15
Hotel A;366.025;$50 off your stay 3 nights or more;-73.205;rebate_3plus;2016-03-01;2016-03-31
Hotel A;366.025;5% off your stay;-7.3205;pct;2016-03-01;2016-03-15
Hotel A;366.025;$20 off your stay;-29.282;rebate;2016-03-07;2016-03-15
Hotel A;402.6275;$50 off your stay 3 nights or more;-80.5255;rebate_3plus;2016-03-01;2016-03-31
Hotel A;402.6275;5% off your stay;-8.05255;pct;2016-03-01;2016-03-15
Hotel A;402.6275;$20 off your stay;-32.2102;rebate;2016-03-07;2016-03-15
Hotel A;442.89025;$50 off your stay 3 nights or more;-88.57805;rebate_3plus;2016-03-01;2016-03-31
Hotel A;442.89025;5% off your stay;-8.857805;pct;2016-03-01;2016-03-15
Hotel A;442.89025;$20 off your stay;-35.43122;rebate;2016-03-07;2016-03-15
Hotel A;487.179275;$50 off your stay 3 nights or more;-97.435855;rebate_3plus;2016-03-01;2016-03-31
Hotel A;487.179275;5% off your stay;-9.7435855;pct;2016-03-01;2016-03-15
Hotel A;487.179275;$20 off your stay;-38.974342;rebate;2016-03-07;2016-03-15
Hotel A;535.8972025;$50 off your stay 3 nights or more;-107.1794405;rebate_3plus;2016-03-01;2016-03-31
Hotel A;535.8972025;5% off your stay;-10.71794405;pct;2016-03-01;2016-03-15
